Dec 19 2019

|     time      |    action     |  current_op   |     price     | current_entry |  current_pts  |    balance    |    trades     |  trades_loss  |  trades_gain  | %_trades_gain |  total_gain   |  total_loss   | average_gain  | average_loss  |     1_mc      |     2_mc      |     3_mc      |     4_mc      |     5_mc      

|   09:37:00    |               |               | R$ 112485.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:38:00    |               |               | R$ 112490.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:39:00    |               |               | R$ 112510.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:40:00    |               |               | R$ 112520.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:41:00    |               |               | R$ 112525.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:42:00    |               |               | R$ 112540.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:43:00    |               |               | R$ 112520.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:44:01    |               |               | R$ 112540.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:45:00    |               |               | R$ 112525.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:46:00    |               |               | R$ 112505.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:47:00    |               |               | R$ 112500.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:48:00    |               |               | R$ 112510.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:49:00    |               |               | R$ 112515.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:50:00    |               |               | R$ 112465.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:51:00    |               |               | R$ 112500.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:52:01    |               |               | R$ 112495.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:53:00    |               |               | R$ 112495.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:54:00    |               |               | R$ 112500.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:55:00    |               |               | R$ 112505.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:56:00    |               |               | R$ 112530.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:57:00    |               |               | R$ 112530.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:58:00    |               |               | R$ 112500.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   09:59:00    |               |               | R$ 112480.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   10:00:01    |               |               | R$ 112410.00  |               |               |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   10:01:00    |      buy      |      buy      | R$ 112440.00  | R$ 112440.00  |   0.00 pts    |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   10:02:00    |               |      buy      | R$ 112450.00  | R$ 112440.00  |   10.00 pts   |   0.00 pts    |       0       |       0       |       0       |     0.00%     |   0.00 pts    |   0.00 pts    |   0.00 pts    |   0.00 pts    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    |    R$ 0.00    
|   10:03:01    |     sell      |               | R$ 112365.00  |               |  -75.00 pts   |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
|   10:04:01    |               |               | R$ 112405.00  |               |               |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
|   10:05:01    |               |               | R$ 112390.00  |               |               |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
|   10:06:00    |               |               | R$ 112360.00  |               |               |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
|   10:07:00    |               |               | R$ 112395.00  |               |               |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
|   10:08:00    |               |               | R$ 112405.00  |               |               |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
|   10:09:00    |               |               | R$ 112440.00  |               |               |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
|   10:10:00    |               |               | R$ 112410.00  |               |               |  -75.00 pts   |       1       |       1       |       0       |     0.00%     |   0.00 pts    |  -75.00 pts   |   0.00 pts    |  -75.00 pts   |   R$ -15.00   |   R$ -30.00   |   R$ -45.00   |   R$ -60.00   |   R$ -75.00   
